date,NVIDIA stock,sell NVIDIA stock,buy NVIDIA stock
2014-12-28,2,0,0
2015-01-04,3,0,0
2015-01-11,2,0,0
2015-01-18,2,0,0
2015-01-25,3,0,0
2015-02-01,2,0,0
2015-02-08,3,0,0
2015-02-15,2,0,0
2015-02-22,2,0,0
2015-03-01,4,0,0
2015-03-08,3,0,0
2015-03-15,3,0,0
2015-03-22,3,0,0
2015-03-29,3,0,0
2015-04-05,2,99,0
2015-04-12,3,0,0
2015-04-19,3,0,0
2015-04-26,3,0,0
2015-05-03,3,0,0
2015-05-10,2,0,0
2015-05-17,3,0,0
2015-05-24,2,0,0
2015-05-31,3,0,0
2015-06-07,2,0,0
2015-06-14,3,0,0
2015-06-21,3,0,0
2015-06-28,3,0,27
2015-07-05,3,0,0
2015-07-12,4,0,0
2015-07-19,3,0,0
2015-07-26,4,0,0
2015-08-02,5,0,0
2015-08-09,5,0,0
2015-08-16,3,0,0
2015-08-23,4,0,0
2015-08-30,4,0,0
2015-09-06,4,0,0
2015-09-13,4,0,0
2015-09-20,3,0,0
2015-09-27,4,0,0
2015-10-04,5,0,0
2015-10-11,5,0,0
2015-10-18,4,0,0
2015-10-25,4,0,0
2015-11-01,6,0,0
2015-11-08,5,0,0
2015-11-15,4,0,0
2015-11-22,4,0,0
2015-11-29,5,0,0
2015-12-06,4,0,0
2015-12-13,4,0,0
2015-12-20,4,0,0
2015-12-27,4,0,0
2016-01-03,6,0,0
2016-01-10,5,0,0
2016-01-17,4,0,0
2016-01-24,4,0,0
2016-01-31,4,0,0
2016-02-07,4,0,0
2016-02-14,6,0,0
2016-02-21,5,0,0
2016-02-28,5,0,0
2016-03-06,4,0,0
2016-03-13,5,0,0
2016-03-20,4,0,0
2016-03-27,5,0,0
2016-04-03,7,0,0
2016-04-10,5,0,0
2016-04-17,4,0,0
2016-04-24,5,0,0
2016-05-01,6,0,0
2016-05-08,11,0,0
2016-05-15,10,0,0
2016-05-22,10,0,0
2016-05-29,9,0,0
2016-06-05,8,0,0
2016-06-12,8,0,0
2016-06-19,9,0,0
2016-06-26,9,0,0
2016-07-03,7,0,0
2016-07-10,10,0,0
2016-07-17,10,0,0
2016-07-24,12,0,0
2016-07-31,10,0,0
2016-08-07,17,0,0
2016-08-14,13,0,0
2016-08-21,11,0,0
2016-08-28,9,0,0
2016-09-04,9,0,0
2016-09-11,9,0,0
2016-09-18,10,0,0
2016-09-25,12,0,0
2016-10-02,10,0,0
2016-10-09,9,0,0
2016-10-16,12,0,0
2016-10-23,14,0,0
2016-10-30,10,0,0
2016-11-06,27,0,24
2016-11-13,28,0,49
2016-11-20,15,0,23
2016-11-27,16,0,0
2016-12-04,16,0,0
2016-12-11,22,0,28
2016-12-18,30,0,37
2016-12-25,36,0,37
2017-01-01,37,0,25
2017-01-08,26,0,30
2017-01-15,19,0,29
2017-01-22,22,0,0
2017-01-29,24,0,31
2017-02-05,42,0,40
2017-02-12,31,0,33
2017-02-19,32,0,0
2017-02-26,33,0,25
2017-03-05,26,0,35
2017-03-12,27,0,0
2017-03-19,24,0,28
2017-03-26,21,0,0
2017-04-02,27,0,29
2017-04-09,22,0,0
2017-04-16,19,0,0
2017-04-23,18,0,29
2017-04-30,19,0,0
2017-05-07,65,81,44
2017-05-14,50,0,41
2017-05-21,43,0,28
2017-05-28,37,0,29
2017-06-04,62,0,69
2017-06-11,57,0,48
2017-06-18,47,0,45
2017-06-25,45,0,28
2017-07-02,35,0,37
2017-07-09,50,0,35
2017-07-16,41,0,29
2017-07-23,39,0,22
2017-07-30,38,0,38
2017-08-06,74,100,55
2017-08-13,51,0,61
2017-08-20,34,0,21
2017-08-27,31,0,30
2017-09-03,28,0,23
2017-09-10,39,0,34
2017-09-17,57,0,37
2017-09-24,43,0,24
2017-10-01,34,0,21
2017-10-08,47,0,38
2017-10-15,42,0,35
2017-10-22,46,0,32
2017-10-29,52,0,41
2017-11-05,72,0,62
2017-11-12,54,0,52
2017-11-19,36,0,37
2017-11-26,62,74,71
2017-12-03,62,0,64
2017-12-10,50,0,81
2017-12-17,47,0,54
2017-12-24,35,0,54
2017-12-31,53,0,64
2018-01-07,68,0,85
2018-01-14,52,0,59
2018-01-21,68,0,100
2018-01-28,65,0,85
2018-02-04,100,0,75
2018-02-11,62,0,56
2018-02-18,49,0,44
2018-02-25,51,0,41
2018-03-04,46,0,32
2018-03-11,42,0,43
2018-03-18,47,0,20
2018-03-25,66,0,36
2018-04-01,54,0,43
2018-04-08,45,0,37
2018-04-15,41,0,27
2018-04-22,39,0,19
2018-04-29,35,0,24
2018-05-06,73,0,57
2018-05-13,48,0,29
2018-05-20,41,0,28
2018-05-27,34,0,31
