Date,Close,High,Low,Open,Volume,RSI_14,Google stock,sell Google stock,buy Google stock
2014-12-29,24.86861228942871,26.36589028036732,24.796651262804016,26.25372964153895,169447946,,42,52,49
2015-01-05,24.857196807861328,25.058189168473927,24.196646350194417,24.714267599224105,247158716,,43,0,54
2015-01-12,25.709312438964844,25.77085148756733,24.70285465401473,25.09044985743777,190297030,,43,43,49
2015-01-19,25.310300827026367,26.90683440335572,25.310300827026367,25.88003008920608,201804538,,51,41,52
2015-01-26,25.943553924560547,26.792689062592665,24.873573411426783,25.35992870785771,326897039,,47,57,52
2015-02-02,26.599140167236328,26.72221825251447,25.910302304016,25.99467098933568,160174554,,50,54,57
2015-02-09,26.78425407409668,27.29542282140316,26.534773868048934,26.662666193218328,131808891,,42,42,47
2015-02-16,26.99120330810547,27.10782888247418,26.216012943617567,26.70187089106821,134448116,,45,55,64
2015-02-23,28.455228805541992,28.64083687810184,26.87358407975553,26.958448237301223,208659306,,48,50,43
2015-03-02,27.353981018066406,28.68053963437855,27.329167593098187,28.537113064366785,154478961,,43,50,43
2015-03-09,27.76688766479492,27.780783638733325,27.00857183781929,27.46961633379619,173484999,,42,0,45
2015-03-16,27.73140335083008,28.51577412262888,27.584751469675435,27.761427766409504,203870194,,41,48,40
2015-03-23,26.926189422607425,27.73711064075213,26.774326546731487,27.67209760388672,166174983,,40,37,42
2015-03-30,26.879039764404297,26.99020754981644,26.281518612885023,26.841323207700604,110444395,,45,58,40
2015-04-06,26.42841911315918,27.00063140909937,25.966383667950605,26.8502568462784,190712165,52.615712375878246,41,64,50
2015-04-13,26.767627716064453,26.852740559794515,25.85670482461393,26.29789821784728,171387256,56.050347438086426,52,64,54
2015-04-20,27.3245792388916,28.344558957020265,26.81055726918192,26.84877119916824,294103263,61.04336303203192,45,46,51
2015-04-27,26.087440490722656,27.300196558169905,25.93142969133477,27.26436506418769,162170000,47.998941287820365,44,60,40
2015-05-04,26.35616683959961,26.97125355677252,25.96452056187205,26.0759920968012,137314000,50.4746006685698,40,54,56
2015-05-11,26.83639144897461,27.018031967842795,26.31784756666615,26.56268819583773,175526000,54.631346230150015,37,53,36
2015-05-18,26.862266540527344,27.081228736345647,26.369101857445944,26.770699288806,131408000,54.85123018704917,35,49,38
2015-05-25,26.888145446777344,27.046893669889965,26.36313387913827,26.773687795670853,183750000,55.08569143645124,37,42,41
2015-06-01,26.70799827575684,26.90207871837804,26.02722271949764,26.761247194097976,150548000,53.02153017555471,32,0,34
2015-06-08,26.33824920654297,26.82195819793904,26.07649043628572,26.79433899998366,123440000,48.965860846379776,34,0,34
2015-06-15,26.76522827148437,27.058837684093,26.41438908509427,26.42483954134753,149220000,53.39879801456341,35,65,32
2015-06-22,25.96899604797364,26.91750442909292,25.789348829776664,26.81648336121648,191216000,45.467415404754426,35,46,32
2015-06-29,25.71967887878418,26.18497570166705,25.63756923809895,25.93117864268547,108206000,43.298762612524,43,0,30
2015-07-06,27.878952026367188,28.19162093788488,25.89484989884753,26.032697203670978,220684000,60.75676753192944,62,71,47
2015-07-13,32.948936462402344,33.772037497607094,28.11682428435968,28.12279651560504,582012000,77.93525034736018,68,35,52
2015-07-20,31.44754981994629,33.02507698427377,30.87874318095572,32.9076332233552,252652000,68.38814990511513,43,41,48
2015-07-27,32.037261962890625,32.24030268699831,30.95588539683304,31.35151069197252,166200000,69.94547619211502,40,0,46
2015-08-03,32.822540283203125,33.58592289630216,31.337075717816,32.09797148288863,255032000,71.92865188618643,56,47,58
2015-08-10,32.88922119140625,33.19278369878141,32.408500190939655,32.81069374637485,150494000,72.09702179688871,45,46,47
2015-08-17,31.28282928466797,32.9932300516364,28.119313987368585,32.61850195277126,413294000,62.38874508864062,85,66,90
2015-08-24,30.57219314575196,32.02780015497149,29.56496477624356,31.819286518211587,278488000,58.62770322698213,54,47,49
2015-08-31,30.491579055786133,31.17832687054035,29.62219788494058,30.704570940769763,156604000,58.1990891264874,43,30,53
2015-09-07,31.649093627929688,31.78445218074111,30.427381269081145,30.51048754406226,167040000,62.44465447801364,42,41,46
2015-09-14,30.97130584716797,32.391576936095326,30.62643889708379,31.73916853421809,264608000,58.68596875610678,49,57,53
2015-09-21,30.277591705322266,31.340060460062745,29.33007986850972,30.68665540744696,245294000,55.03466021458588,45,42,46
2015-09-28,31.96659469604492,32.377099281167915,29.85111464803456,30.275107061966484,212300000,61.341275384986815,49,0,56
2015-10-05,32.404518127441406,32.814081114350365,31.130553345898484,31.916830145569616,166584000,62.79819280811611,46,40,53
2015-10-12,31.97903251647949,33.18382484290657,31.935237418440146,32.57869314712803,185268000,60.41582135221074,65,56,54
2015-10-19,35.479454040527344,36.327936201373646,32.048704860015945,32.18256941951227,357324000,70.37358106249677,55,32,56
2015-10-26,36.23387908935547,36.48220319302279,35.12612692315107,35.3575328675654,170464000,72.00796794620268,51,60,54
2015-11-02,36.59666061401367,36.87533943290671,35.75564286836472,36.301557209691055,168348000,72.78545041472722,45,48,39
2015-11-09,36.82557678222656,36.89574385818403,35.39883611318687,36.37769738634312,180276000,73.28959218995173,56,47,57
2015-11-16,37.23115539550781,37.95562159648435,36.69767909974748,36.76287247726154,168182000,74.201456027327,37,33,47
2015-11-23,37.93930435180664,38.61485377453002,36.88878000840418,37.246586185815936,146022000,75.75763221830923,47,44,50
2015-11-30,37.4033432006836,38.26849291524526,36.67633693919269,38.11994646474661,233794000,72.20754108472065,47,58,49
2015-12-07,37.72581481933594,37.85022556133531,36.03781072235254,37.46505266811344,225696000,73.02655704226508,44,52,52
2015-12-14,37.338645935058594,37.95422999870566,36.7335142257759,37.94129079649942,183182000,70.34615827910409,36,49,41
2015-12-21,38.36826705932617,38.81515169225916,37.15501569693409,37.30082470301855,102016000,73.16682824590028,35,37,33
2015-12-28,37.00572204589844,38.29362062878137,36.27418635646477,38.29362062878137,173428000,64.4324135657379,49,49,48
2016-01-04,34.862876892089844,36.75093374238755,34.765836661726375,36.34336401551804,240628000,53.59618681672241,51,66,37
2016-01-11,34.757869720458984,35.92608447954487,33.504304828336224,35.1027366525826,230940000,53.12468549840153,49,47,46
2016-01-18,34.83450698852539,36.31200969706513,34.555828168609274,34.943491668711935,193232000,53.446574692377496,51,36,42
2016-01-25,36.176151275634766,39.30732038159528,35.44959308093225,35.940766391267346,476180000,58.78267581566495,71,70,59
2016-02-01,34.04475021362305,36.17864035389941,32.99671278089346,35.97012859911175,415374000,49.14515006942813,54,48,49
2016-02-08,35.25302505493164,35.32020791683216,33.28574608107793,33.590899410240446,203560000,53.77220462631895,43,0,45
2016-02-15,34.813114166259766,35.49388790357737,33.878541437171286,35.33265281773157,187904000,51.919993309296494,47,38,48
2016-02-22,35.7730598449707,35.83028771365568,34.36647226114098,34.83549931335342,202944000,55.52046621279596,48,40,42
2016-02-29,35.09577178955078,35.80292122385,34.105459603728264,35.76460098610681,208260000,52.53146571173665,44,0,46
2016-03-07,36.63100051879883,36.69967548895444,35.002213835816214,35.23909084753719,197360000,58.04512213936084,40,42,43
2016-03-14,36.729034423828125,37.11022833581675,36.4190023278812,36.6489123620489,187596000,58.3775894907284,42,44,43
2016-03-21,37.34959411621094,37.7153619597126,36.26622452647337,36.42795695394212,131648000,60.51081448180236,40,0,38
2016-03-28,37.10873794555664,37.46256136057367,36.59517156587068,37.28590023622027,132314000,59.24171417642712,40,0,43
2016-04-04,37.4088134765625,37.54118971768128,36.37819537721951,37.09281294457386,140484000,60.35725172774816,40,47,43
2016-04-11,37.45608901977539,38.3135275631404,37.28987646580313,37.52277450787373,161262000,60.54048765288238,46,33,49
2016-04-18,35.12562942504883,37.843256816977,34.455057531384035,37.590953757568286,336296000,48.61211672233961,49,54,39
2016-04-25,34.62101745605469,35.54016398110906,34.287597614106545,35.24605531731951,204752000,46.47675397221688,47,43,33
2016-05-02,35.59590148925781,36.05323471286007,34.622013892065766,34.72054622213862,165696000,50.95872435462347,43,45,39
2016-05-09,35.164939880371094,35.90592933999867,34.866354911301215,35.68398104044388,155206000,49.00511268856657,39,53,30
2016-05-16,36.09254837036133,36.204019898767385,34.67575891249144,34.9524482552748,167760000,53.16693107209025,36,0,31
2016-05-23,36.53445816040039,36.81214226231112,35.84422686237386,35.97311772473905,138688000,55.04905786831421,34,49,34
2016-05-30,36.24234008789063,36.4782223463309,35.5620600283636,36.45234394249481,141066000,53.51795196004864,35,0,34
2016-06-06,35.77654266357422,36.305041460587965,35.48790886917499,35.97311373604306,119696000,51.078368402865,34,0,32
2016-06-13,34.7086067199707,35.66358291516379,34.26032864498691,35.57699124872732,202346000,45.91103910218216,42,48,45
2016-06-20,34.04425048828125,34.932043734183125,33.007857650144985,34.708105944531646,267116000,42.99692210838934,39,68,45
