Date,Close,High,Low,Open,Volume,RSI_14,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2014-12-29,39.61793518066406,40.63773377302535,38.98377581032129,39.9864345184708,133149800,,19,0,21
2015-01-05,39.38655853271485,41.05765994085872,39.09518698837643,40.06356936648634,142231500,,18,0,23
2015-01-12,39.352272033691406,39.97786636803497,38.70954108416736,39.60936702877996,143689100,,28,0,22
2015-01-19,35.29878616333008,40.61202987394219,35.273077968844376,39.74648687890055,358306200,,41,0,54
2015-01-26,35.855804443359375,36.17288401548006,34.47607531267283,35.07595796981013,285639900,,31,0,42
2015-02-02,36.31858444213867,36.669943897169546,35.872957258107064,36.18146863698269,170479100,,28,0,48
2015-02-09,37.30410385131836,37.7068829654702,36.42998935391788,36.55853685348511,134341100,,24,0,31
2015-02-16,37.966590881347656,38.23414146175845,37.15529997981062,37.267500415794814,144874800,,23,0,29
2015-02-23,37.16393661499024,38.17373077206401,37.00858316123068,37.966595028626806,152186300,,24,0,33
2015-03-02,36.23181915283203,37.31929342700761,36.110989409559984,37.17256924420328,162925300,,24,0,31
2015-03-09,36.68061828613281,36.96543407904203,35.049410140892384,35.67082402188441,229141900,,24,0,46
2015-03-16,35.78302383422852,37.25887861829459,35.765761970440366,36.47348192393511,201012900,,23,0,27
2015-03-23,35.14435577392578,35.91249070149741,34.790495752492866,35.57589254603248,178699200,,19,0,21
2015-03-30,35.74850082397461,36.17140826436056,34.62650599414218,35.09256644868246,130274000,,22,0,31
2015-04-06,36.47347259521485,36.64608789658312,35.60177009723145,35.60177009723145,135610600,35.88020186059963,20,0,31
2015-04-13,37.1035270690918,37.25887725276384,35.52410116018249,36.205929939188046,162033100,40.603171232856944,31,0,33
2015-04-20,42.342384338378906,42.55815269933044,36.939542736428855,37.01721947806596,345026800,64.2096784106187,35,0,31
2015-04-27,39.94303512573242,42.75665619902568,39.71863749471351,42.03167442535615,240504500,53.685928422786425,27,0,27
2015-05-04,41.10818862915039,41.70370811402388,39.83946962619832,39.93440823082247,157058900,57.34223413013726,21,0,32
2015-05-11,41.06502914428711,42.2129149198592,40.71979850776251,41.45340949492309,139382800,57.16221594269748,21,0,21
2015-05-18,41.35797119140625,41.49696024822346,40.1244404126131,41.07130439773048,105048800,58.12317668853152,18,0,25
2015-05-25,40.69778060913086,41.71414102734594,40.4719245793949,41.26242565411272,134141100,55.12210257174429,21,0,18
2015-06-01,40.489288330078125,40.96706300072943,39.49030221654867,40.645651431565526,128128700,54.17084457467762,16,0,24
2015-06-08,39.93333053588867,40.758576155528885,39.10808160248811,40.5327201921428,140307700,51.61303351481465,20,0,25
2015-06-15,39.64667892456055,40.68041348513939,39.56849734698535,40.15051649421437,177600800,50.2944129484566,16,0,0
2015-06-22,38.61293029785156,40.2026172413382,38.169900453081766,39.985446658463616,168822300,45.754576174838064,18,0,19
2015-06-29,38.43052291870117,39.00385335043703,37.63133313623704,38.63900490455344,121007700,44.9829960814566,23,0,19
2015-07-06,39.75090408325195,39.92464122127196,38.65636574711841,38.87353634120334,135578700,51.37513866496582,21,0,32
2015-07-13,39.5598030090332,41.11474552507752,39.2644508177944,39.96808154268621,188305000,50.46132704452884,30,0,31
2015-07-20,40.21131134033203,40.63696388443309,38.90828766745357,39.32525484512341,181243400,53.49812345212143,24,0,30
2015-07-27,41.33190155029297,42.05290606855326,39.89857456414417,40.18523797311812,155468900,58.23993223580839,23,0,37
2015-08-03,40.60220718383789,41.496948782774936,39.707462271141246,41.44482665820944,129029700,54.35325924804064,19,0,0
2015-08-10,40.489288330078125,41.21898169909918,40.21999558556972,40.88019608379663,120259900,53.75541301788249,20,0,20
2015-08-17,37.3460807800293,40.63386693134758,34.731594614117675,40.28410131163725,329069600,40.42588616561285,40,0,62
2015-08-24,37.91444396972656,38.605229140994375,36.427945289660286,37.80076965829486,200992000,43.17003394037673,24,0,19
2015-08-31,37.66087341308594,38.82384139435905,36.90013694047413,37.95817322264645,131363300,42.235310445440426,21,0,26
2015-09-07,38.73640823364258,38.80636271762778,37.38107179475654,37.704602944154615,134409500,47.43424129353164,21,0,27
2015-09-14,38.36039352416992,39.348478473133255,37.87072570462918,38.727647724437325,167320200,45.8795790049787,22,0,23
2015-09-21,38.70142364501953,39.112397821384526,37.64338729268919,37.99315297499294,152626500,47.55835593245486,22,0,40
2015-09-28,40.92242050170898,41.4033457243912,38.25546850718749,39.1298792159232,159594900,56.92877364765443,31,0,30
2015-10-05,40.8175048828125,41.5694988605922,40.660110639295205,40.712576499005365,126828000,56.41595772150869,25,0,42
2015-10-12,41.27219009399414,41.96297542096546,40.68633312820439,41.10604990854315,138973800,58.174396518349695,39,0,56
2015-10-19,47.20070266723633,47.54172240394077,41.176011757156296,41.56075137422563,354498200,73.30039797114961,37,0,50
2015-10-26,47.56795883178711,47.98767570355066,46.011505013099104,46.8159648523558,180791600,73.92938435106898,31,0,38
2015-11-02,46.91213607788086,48.07510059143404,46.57985907303189,47.64664121008735,188632800,70.7252337937142,26,0,32
2015-11-09,47.0870246887207,47.20069903741811,45.932802590661375,46.76349359616495,165635800,71.08512961637972,25,0,62
2015-11-16,47.26355743408203,48.11745405502597,46.89383107744396,47.527651526647375,139137800,71.4664479095832,19,0,33
2015-11-23,48.60161209106445,49.26184048578924,47.35158127560459,47.36038284330567,152478200,74.23947644124053,28,0,43
2015-11-30,48.39915084838867,49.499531697137314,47.47483160705898,48.848108115211794,182552500,73.0821325129834,26,0,38
2015-12-07,49.411502838134766,49.51713845991574,47.254755691372594,48.76007589461103,195440500,75.16679006394007,24,0,31
2015-12-14,49.13859558105469,49.99249199735438,47.56284976309168,49.61396080403153,218813400,73.51394543453912,19,0,22
