date,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2025-04-14,41,0,58
2025-04-15,33,0,100
2025-04-16,38,0,0
2025-04-17,31,0,0
2025-04-18,19,0,0
2025-04-19,9,0,0
2025-04-20,8,0,0
2025-04-21,30,0,74
2025-04-22,38,0,0
2025-04-23,38,0,0
2025-04-24,35,0,60
2025-04-25,31,0,0
2025-04-26,12,0,75
2025-04-27,9,0,0
2025-04-28,36,0,0
2025-04-29,34,0,0
2025-04-30,62,0,87
2025-05-01,100,100,82
2025-05-02,58,69,60
2025-05-03,16,22,29
2025-05-04,10,24,24
2025-05-05,37,53,44
2025-05-06,33,49,40
2025-05-07,34,34,41
2025-05-08,35,31,41
2025-05-09,34,36,37
2025-05-10,11,15,21
2025-05-11,9,14,27
2025-05-12,50,45,54
2025-05-13,48,46,48
2025-05-14,47,58,57
