date,Google stock,sell Google stock,buy Google stock
2015-01-01,38,37,30
2015-02-01,36,42,33
2015-03-01,35,30,26
2015-04-01,36,43,30
2015-05-01,32,36,25
2015-06-01,28,25,21
2015-07-01,38,37,25
2015-08-01,42,40,34
2015-09-01,38,36,30
2015-10-01,40,38,32
2015-11-01,37,39,28
2015-12-01,34,38,27
2016-01-01,37,41,26
2016-02-01,41,39,29
2016-03-01,37,32,25
2016-04-01,35,32,26
2016-05-01,32,33,21
2016-06-01,30,25,22
2016-07-01,30,36,23
2016-08-01,27,32,19
2016-09-01,32,32,26
2016-10-01,36,35,29
2016-11-01,38,39,30
2016-12-01,33,36,26
2017-01-01,36,45,31
2017-02-01,40,38,37
2017-03-01,42,46,37
2017-04-01,38,30,28
2017-05-01,41,45,32
2017-06-01,41,41,26
2017-07-01,38,41,28
2017-08-01,38,40,27
2017-09-01,37,40,28
2017-10-01,46,54,34
2017-11-01,46,51,39
2017-12-01,43,48,43
2018-01-01,49,53,42
2018-02-01,57,60,41
2018-03-01,48,40,31
2018-04-01,45,41,24
2018-05-01,38,30,24
2018-06-01,33,26,19
2018-07-01,36,31,21
2018-08-01,36,35,22
2018-09-01,38,38,27
2018-10-01,46,53,29
2018-11-01,41,43,25
2018-12-01,34,26,22
2019-01-01,35,34,21
2019-02-01,37,38,23
2019-03-01,36,35,22
2019-04-01,39,39,24
2019-05-01,40,35,24
2019-06-01,35,32,19
2019-07-01,32,27,17
2019-08-01,31,30,17
2019-09-01,32,38,20
2019-10-01,37,35,22
2019-11-01,37,36,27
2019-12-01,35,35,24
2020-01-01,43,45,28
2020-02-01,59,56,41
2020-03-01,100,81,100
2020-04-01,83,86,78
2020-05-01,71,93,62
2020-06-01,57,64,44
2020-07-01,57,52,38
2020-08-01,54,50,41
2020-09-01,60,59,37
2020-10-01,45,42,30
2020-11-01,49,49,34
2020-12-01,53,57,39
2021-01-01,63,79,59
2021-02-01,70,71,55
2021-03-01,53,59,35
2021-04-01,47,47,34
2021-05-01,45,51,33
2021-06-01,42,45,28
2021-07-01,43,36,24
2021-08-01,39,35,21
2021-09-01,40,33,24
2021-10-01,44,46,27
2021-11-01,48,47,30
2021-12-01,46,48,27
2022-01-01,55,62,33
2022-02-01,100,79,67
2022-03-01,71,57,44
2022-04-01,76,72,49
2022-05-01,79,68,46
2022-06-01,67,54,40
2022-07-01,82,62,57
2022-08-01,68,59,37
2022-09-01,62,62,36
2022-10-01,66,63,35
2022-11-01,62,59,34
2022-12-01,48,51,29
2023-01-01,61,66,34
2023-02-01,82,70,40
2023-03-01,60,65,29
2023-04-01,56,55,29
2023-05-01,62,62,27
2023-06-01,55,62,27
2023-07-01,57,55,24
2023-08-01,50,53,25
2023-09-01,44,53,24
2023-10-01,52,49,20
2023-11-01,46,44,22
2023-12-01,51,57,28
2024-01-01,51,61,32
2024-02-01,69,79,41
2024-03-01,64,78,39
2024-04-01,64,77,33
2024-05-01,58,65,28
2024-06-01,50,60,26
2024-07-01,61,55,28
2024-08-01,64,73,29
2024-09-01,54,63,27
2024-10-01,61,65,27
2024-11-01,66,100,39
2024-12-01,67,83,40
2025-01-01,71,75,40
2025-02-01,83,96,41
