date,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2015-01-01,9,18,11
2015-02-01,9,0,12
2015-03-01,8,14,11
2015-04-01,9,30,12
2015-05-01,7,0,9
2015-06-01,7,0,8
2015-07-01,8,0,9
2015-08-01,8,14,10
2015-09-01,7,0,8
2015-10-01,11,23,15
2015-11-01,8,26,13
2015-12-01,8,23,11
2016-01-01,9,14,10
2016-02-01,9,19,9
2016-03-01,8,13,9
2016-04-01,8,0,8
2016-05-01,8,22,8
2016-06-01,10,21,11
2016-07-01,8,0,8
2016-08-01,6,18,7
2016-09-01,8,12,10
2016-10-01,9,0,10
2016-11-01,9,13,10
2016-12-01,8,14,10
2017-01-01,9,16,13
2017-02-01,10,23,13
2017-03-01,9,15,13
2017-04-01,9,12,11
2017-05-01,12,17,13
2017-06-01,11,23,12
2017-07-01,14,16,12
2017-08-01,11,13,11
2017-09-01,11,14,12
2017-10-01,15,31,16
2017-11-01,15,25,18
2017-12-01,15,29,20
2018-01-01,19,28,22
2018-02-01,23,44,25
2018-03-01,18,22,17
2018-04-01,18,20,14
2018-05-01,15,15,11
2018-06-01,17,26,14
2018-07-01,19,22,14
2018-08-01,20,34,17
2018-09-01,18,31,15
2018-10-01,25,34,18
2018-11-01,21,23,13
2018-12-01,21,24,14
2019-01-01,22,27,14
2019-02-01,19,27,15
2019-03-01,21,30,14
2019-04-01,25,29,15
2019-05-01,22,20,16
2019-06-01,22,24,13
2019-07-01,24,19,14
2019-08-01,24,15,15
2019-09-01,20,19,13
2019-10-01,27,29,19
2019-11-01,25,24,21
2019-12-01,24,19,21
2020-01-01,37,40,26
2020-02-01,60,73,43
2020-03-01,100,82,100
2020-04-01,71,77,75
2020-05-01,55,63,56
2020-06-01,56,53,41
2020-07-01,69,65,47
2020-08-01,77,91,82
2020-09-01,71,80,52
2020-10-01,49,47,30
2020-11-01,49,52,46
2020-12-01,42,41,39
2021-01-01,54,65,52
2021-02-01,52,54,48
2021-03-01,47,44,33
2021-04-01,46,45,35
2021-05-01,39,36,26
2021-06-01,36,31,22
2021-07-01,43,32,23
2021-08-01,38,23,21
2021-09-01,35,31,23
2021-10-01,42,38,24
2021-11-01,48,51,29
2021-12-01,46,43,22
2022-01-01,68,78,51
2022-02-01,51,56,33
2022-03-01,45,49,27
2022-04-01,42,54,26
2022-05-01,45,42,28
2022-06-01,38,32,24
2022-07-01,34,35,19
2022-08-01,34,30,20
2022-09-01,30,39,23
2022-10-01,36,31,19
2022-11-01,31,33,21
2022-12-01,26,38,18
2023-01-01,43,54,29
2023-02-01,47,49,32
2023-03-01,38,48,24
2023-04-01,40,42,23
2023-05-01,39,47,21
2023-06-01,40,47,24
2023-07-01,44,58,26
2023-08-01,32,34,18
2023-09-01,28,39,19
2023-10-01,35,50,18
2023-11-01,51,62,29
2023-12-01,37,54,31
2024-01-01,51,73,34
2024-02-01,52,100,40
2024-03-01,44,74,36
2024-04-01,43,68,31
2024-05-01,42,54,27
2024-06-01,45,59,32
2024-07-01,76,65,32
2024-08-01,48,56,26
2024-09-01,36,60,26
2024-10-01,41,58,26
2024-11-01,44,63,29
2024-12-01,38,57,27
2025-01-01,50,67,37
2025-02-01,50,78,33
