date,NVIDIA stock,Google stock,Microsoft stock
2015-01-01,0,12,2
2015-02-01,0,11,2
2015-03-01,0,12,2
2015-04-01,0,11,2
2015-05-01,0,10,2
2015-06-01,0,9,1
2015-07-01,0,13,2
2015-08-01,0,14,2
2015-09-01,0,12,2
2015-10-01,0,13,2
2015-11-01,0,11,2
2015-12-01,0,11,2
2016-01-01,0,12,2
2016-02-01,0,13,2
2016-03-01,0,11,2
2016-04-01,0,12,2
2016-05-01,1,10,2
2016-06-01,1,9,2
2016-07-01,1,10,2
2016-08-01,1,8,1
2016-09-01,1,10,2
2016-10-01,1,12,2
2016-11-01,2,12,2
2016-12-01,2,11,2
2017-01-01,2,11,2
2017-02-01,3,13,2
2017-03-01,2,13,2
2017-04-01,2,13,2
2017-05-01,4,13,3
2017-06-01,5,13,2
2017-07-01,4,12,3
2017-08-01,4,12,2
2017-09-01,4,12,2
2017-10-01,4,14,3
2017-11-01,5,15,3
2017-12-01,5,14,3
2018-01-01,6,15,4
2018-02-01,7,19,5
2018-03-01,5,15,4
2018-04-01,4,14,4
2018-05-01,5,12,3
2018-06-01,4,11,4
2018-07-01,3,12,4
2018-08-01,5,12,4
2018-09-01,3,12,4
2018-10-01,5,14,6
2018-11-01,7,12,5
2018-12-01,4,11,5
2019-01-01,5,11,5
2019-02-01,4,12,4
2019-03-01,4,11,5
2019-04-01,4,12,6
2019-05-01,4,13,5
2019-06-01,3,11,5
2019-07-01,3,10,6
2019-08-01,3,10,5
2019-09-01,2,10,4
2019-10-01,3,12,6
2019-11-01,3,12,6
2019-12-01,3,11,5
2020-01-01,3,13,8
2020-02-01,6,19,14
2020-03-01,6,33,21
2020-04-01,5,26,16
2020-05-01,6,22,13
2020-06-01,5,18,12
2020-07-01,7,19,16
2020-08-01,9,18,18
2020-09-01,15,19,16
2020-10-01,7,15,11
2020-11-01,7,15,10
2020-12-01,6,16,9
2021-01-01,7,20,12
2021-02-01,8,23,12
2021-03-01,7,17,11
2021-04-01,6,16,11
2021-05-01,6,14,9
2021-06-01,10,14,8
2021-07-01,12,14,9
2021-08-01,9,12,9
2021-09-01,7,13,8
2021-10-01,7,14,9
2021-11-01,17,16,10
2021-12-01,14,14,10
2022-01-01,12,18,16
2022-02-01,14,32,12
2022-03-01,11,22,10
2022-04-01,9,25,9
2022-05-01,11,25,10
2022-06-01,8,22,9
2022-07-01,9,27,8
2022-08-01,10,22,8
2022-09-01,9,19,7
2022-10-01,7,20,8
2022-11-01,7,20,7
2022-12-01,5,16,6
2023-01-01,6,18,10
2023-02-01,10,26,10
2023-03-01,9,19,8
2023-04-01,7,18,9
2023-05-01,20,20,9
2023-06-01,21,17,9
2023-07-01,16,18,10
2023-08-01,25,16,8
2023-09-01,15,14,7
2023-10-01,14,16,8
2023-11-01,18,15,12
2023-12-01,14,16,8
2024-01-01,23,18,11
2024-02-01,60,22,11
2024-03-01,56,20,10
2024-04-01,36,19,10
2024-05-01,55,19,9
2024-06-01,100,16,10
2024-07-01,66,20,17
2024-08-01,86,20,11
2024-09-01,59,16,8
2024-10-01,54,19,9
2024-11-01,63,21,10
2024-12-01,48,22,8
