Date,Google stock,sell Google stock,buy Google stock
2019-12-29,17,22,17
2020-01-05,24,21,22
2020-01-12,24,31,22
2020-01-19,23,23,22
2020-01-26,27,28,24
2020-02-02,37,33,34
2020-02-09,30,27,27
2020-02-16,26,25,23
2020-02-23,43,47,38
2020-03-01,41,29,36
2020-03-08,72,57,87
2020-03-15,74,53,100
2020-03-22,57,30,70
2020-03-29,45,42,56
2020-04-05,40,31,47
2020-04-12,41,49,54
2020-04-19,41,28,53
2020-04-26,75,100,82
2020-05-03,57,91,69
2020-05-10,36,36,38
2020-05-17,35,41,38
2020-05-24,30,24,28
2020-05-31,33,37,33
2020-06-07,37,33,36
2020-06-14,30,28,30
2020-06-21,30,32,28
2020-06-28,29,28,25
2020-07-05,31,22,27
2020-07-12,32,30,31
2020-07-19,30,17,24
2020-07-26,38,31,31
2020-08-02,34,30,34
2020-08-09,31,34,29
2020-08-16,32,27,28
2020-08-23,33,39,32
2020-08-30,41,38,38
2020-09-06,31,33,25
2020-09-13,31,19,26
2020-09-20,33,29,26
2020-09-27,29,24,26
2020-10-04,26,18,22
2020-10-11,25,21,22
2020-10-18,27,31,22
2020-10-25,29,23,20
2020-11-01,26,20,21
2020-11-08,29,26,23
2020-11-15,28,20,27
2020-11-22,25,34,27
2020-11-29,29,28,30
2020-12-06,29,43,31
2020-12-13,30,30,29
2020-12-20,24,16,24
2020-12-27,25,13,28
2021-01-03,31,35,37
2021-01-10,38,39,39
2021-01-17,32,43,35
2021-01-24,51,66,69
2021-01-31,54,51,57
2021-02-07,39,36,39
2021-02-14,34,29,33
2021-02-21,37,38,34
2021-02-28,32,43,29
2021-03-07,34,39,29
2021-03-14,28,30,24
2021-03-21,27,20,25
2021-03-28,25,21,20
2021-04-04,27,24,20
2021-04-11,28,24,28
2021-04-18,26,24,26
2021-04-25,33,24,28
2021-05-02,27,22,28
2021-05-09,28,37,26
2021-05-16,25,32,22
2021-05-23,23,24,17
2021-05-30,26,23,23
2021-06-06,25,20,22
2021-06-13,24,33,20
2021-06-20,23,24,19
2021-06-27,22,15,16
2021-07-04,22,12,13
2021-07-11,22,17,19
2021-07-18,25,21,16
2021-07-25,29,20,21
2021-08-01,23,12,15
2021-08-08,22,14,14
2021-08-15,22,20,18
2021-08-22,23,22,15
2021-08-29,26,19,19
2021-09-05,20,15,14
2021-09-12,22,24,21
2021-09-19,23,21,17
2021-09-26,27,22,20
2021-10-03,26,14,17
