date,Google stock,sell Google stock,buy Google stock
2019-12-29,19,19,17
2020-01-05,25,23,23
2020-01-12,25,30,21
2020-01-19,24,22,23
2020-01-26,27,26,24
2020-02-02,37,34,35
2020-02-09,30,25,28
2020-02-16,28,26,22
2020-02-23,44,50,39
2020-03-01,40,39,37
2020-03-08,73,60,87
2020-03-15,77,54,100
2020-03-22,58,37,73
2020-03-29,45,49,57
2020-04-05,40,34,47
2020-04-12,43,46,55
2020-04-19,41,33,53
2020-04-26,77,100,83
2020-05-03,59,95,71
2020-05-10,35,43,37
2020-05-17,35,45,39
2020-05-24,31,28,28
2020-05-31,32,48,34
2020-06-07,37,36,38
2020-06-14,31,25,28
2020-06-21,31,39,29
2020-06-28,30,26,25
2020-07-05,31,29,28
2020-07-12,33,39,31
2020-07-19,32,22,25
2020-07-26,39,20,32
2020-08-02,34,32,34
2020-08-09,32,30,28
2020-08-16,33,36,29
2020-08-23,33,33,34
2020-08-30,38,41,37
2020-09-06,31,34,25
2020-09-13,32,31,26
2020-09-20,35,30,25
2020-09-27,29,23,26
2020-10-04,25,17,21
2020-10-11,25,24,24
2020-10-18,27,29,23
2020-10-25,30,24,20
2020-11-01,27,25,21
2020-11-08,31,29,24
2020-11-15,28,25,30
2020-11-22,26,36,28
2020-11-29,29,31,31
2020-12-06,30,45,32
2020-12-13,30,27,28
2020-12-20,24,26,25
2020-12-27,25,18,30
2021-01-03,32,37,38
2021-01-10,39,42,38
2021-01-17,32,42,36
2021-01-24,52,76,69
2021-01-31,52,52,59
2021-02-07,38,40,40
2021-02-14,34,33,35
2021-02-21,36,39,35
2021-02-28,32,45,28
2021-03-07,34,38,28
2021-03-14,28,30,25
2021-03-21,28,26,26
2021-03-28,25,20,21
2021-04-04,27,22,21
2021-04-11,29,27,28
2021-04-18,27,26,24
2021-04-25,34,26,29
2021-05-02,28,35,29
2021-05-09,28,45,27
2021-05-16,24,27,23
2021-05-23,24,20,15
2021-05-30,25,19,24
2021-06-06,25,32,21
2021-06-13,25,27,22
2021-06-20,23,23,20
2021-06-27,22,20,17
2021-07-04,22,13,15
2021-07-11,24,24,19
2021-07-18,25,24,17
2021-07-25,31,26,22
2021-08-01,23,0,15
2021-08-08,23,13,15
2021-08-15,22,19,18
2021-08-22,24,24,16
2021-08-29,23,17,19
2021-09-05,20,0,16
2021-09-12,22,23,20
2021-09-19,23,20,16
2021-09-26,27,20,19
2021-10-03,25,17,17
2021-10-10,22,31,17
2021-10-17,26,27,22
2021-10-24,32,35,23
2021-10-31,28,33,25
2021-11-07,30,35,23
2021-11-14,27,29,23
2021-11-21,23,14,21
2021-11-28,28,25,21
2021-12-05,26,27,20
2021-12-12,24,33,20
2021-12-19,22,20,20
2021-12-26,24,24,25
2022-01-02,30,29,25
2022-01-09,28,30,19
2022-01-16,28,35,25
2022-01-23,39,39,28
2022-01-30,100,65,85
2022-02-06,52,45,53
2022-02-13,43,36,34
2022-02-20,44,37,33
2022-02-27,41,42,32
2022-03-06,47,30,43
2022-03-13,41,27,29
2022-03-20,40,38,27
2022-03-27,42,32,35
2022-04-03,37,36,33
2022-04-10,37,33,31
2022-04-17,43,46,31
2022-04-24,66,55,46
2022-05-01,48,43,39
2022-05-08,52,46,39
2022-05-15,43,36,28
2022-05-22,44,31,32
2022-05-29,38,35,27
2022-06-05,43,29,33
2022-06-12,47,33,32
2022-06-19,35,18,25
2022-06-26,36,26,25
2022-07-03,35,22,28
2022-07-10,47,27,60
2022-07-17,61,49,54
2022-07-24,58,40,33
2022-07-31,40,34,26
2022-08-07,42,36,30
2022-08-14,40,36,28
2022-08-21,35,32,28
2022-08-28,35,27,26
2022-09-04,28,33,22
2022-09-11,37,46,29
2022-09-18,38,28,27
2022-09-25,36,45,31
2022-10-02,33,31,27
2022-10-09,32,45,26
2022-10-16,33,39,21
2022-10-23,57,43,32
2022-10-30,44,38,37
2022-11-06,41,35,27
2022-11-13,35,36,23
2022-11-20,26,24,19
2022-11-27,30,23,21
2022-12-04,27,38,22
2022-12-11,29,20,25
2022-12-18,29,22,20
2022-12-25,28,34,20
2023-01-01,28,35,23
