Date,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2019-12-29,18,0,17
2020-01-05,22,0,15
2020-01-12,25,0,22
2020-01-19,23,49,18
2020-01-26,36,40,21
2020-02-02,40,60,33
2020-02-09,46,69,30
2020-02-16,32,0,21
2020-02-23,63,91,52
2020-03-01,56,53,39
2020-03-08,87,89,95
2020-03-15,87,68,100
2020-03-22,72,50,69
2020-03-29,61,79,67
2020-04-05,49,52,51
2020-04-12,51,58,58
2020-04-19,45,39,53
2020-04-26,59,83,61
2020-05-03,46,73,54
2020-05-10,43,56,44
2020-05-17,40,39,35
2020-05-24,32,37,35
2020-05-31,35,59,28
2020-06-07,46,49,42
2020-06-14,38,29,34
2020-06-21,43,0,29
2020-06-28,35,54,31
2020-07-05,46,58,36
2020-07-12,46,44,36
2020-07-19,64,75,44
2020-07-26,49,40,43
2020-08-02,84,98,97
2020-08-09,50,47,42
2020-08-16,46,60,43
2020-08-23,55,80,62
2020-08-30,70,98,57
2020-09-06,52,36,36
2020-09-13,49,66,37
2020-09-20,51,59,40
2020-09-27,37,35,22
2020-10-04,34,0,25
2020-10-11,38,42,22
2020-10-18,28,0,18
2020-10-25,43,53,27
2020-11-01,33,31,18
2020-11-08,43,80,53
2020-11-15,31,0,34
2020-11-22,28,61,37
2020-11-29,30,61,33
2020-12-06,28,33,26
2020-12-13,29,0,28
2020-12-20,25,36,28
2020-12-27,25,0,31
2021-01-03,33,30,28
2021-01-10,29,0,34
2021-01-17,34,49,33
2021-01-24,66,99,62
2021-01-31,47,78,57
2021-02-07,36,0,32
2021-02-14,29,0,31
2021-02-21,36,56,32
2021-02-28,36,41,26
2021-03-07,38,49,26
2021-03-14,30,48,22
2021-03-21,30,30,26
2021-03-28,27,0,23
2021-04-04,33,36,20
2021-04-11,36,47,34
2021-04-18,27,31,24
2021-04-25,41,42,30
2021-05-02,35,32,26
2021-05-09,29,40,21
2021-05-16,25,33,18
2021-05-23,23,0,13
2021-05-30,20,0,16
2021-06-06,22,0,17
2021-06-13,25,0,16
2021-06-20,27,0,17
2021-06-27,25,31,18
2021-07-04,26,32,16
2021-07-11,27,39,16
2021-07-18,28,0,16
2021-07-25,34,0,16
2021-08-01,23,0,9
2021-08-08,23,0,17
2021-08-15,28,0,15
2021-08-22,28,0,18
2021-08-29,24,0,10
2021-09-05,20,0,16
2021-09-12,24,0,19
2021-09-19,24,0,17
2021-09-26,23,0,17
2021-10-03,25,0,18
2021-10-10,22,0,8
2021-10-17,28,0,18
2021-10-24,45,59,27
2021-10-31,40,41,25
2021-11-07,33,52,21
2021-11-14,35,39,25
2021-11-21,27,0,18
2021-11-28,36,64,23
2021-12-05,34,38,19
2021-12-12,30,45,13
