date,NVIDIA stock,sell NVIDIA stock,buy NVIDIA stock
2019-12-29,12,0,11
2020-01-05,16,0,23
2020-01-12,15,0,11
2020-01-19,14,0,18
2020-01-26,15,0,11
2020-02-02,16,0,9
2020-02-09,33,0,29
2020-02-16,28,0,23
2020-02-23,32,61,37
2020-03-01,26,0,32
2020-03-08,29,0,54
2020-03-15,28,0,38
2020-03-22,30,0,54
2020-03-29,22,0,38
2020-04-05,19,0,27
2020-04-12,24,0,46
2020-04-19,20,0,42
2020-04-26,22,0,34
2020-05-03,21,41,29
2020-05-10,27,0,32
2020-05-17,41,55,55
2020-05-24,24,0,32
2020-05-31,23,0,33
2020-06-07,27,48,32
2020-06-14,21,0,24
2020-06-21,22,0,30
2020-06-28,21,47,26
2020-07-05,30,0,56
2020-07-12,31,0,39
2020-07-19,26,0,40
2020-07-26,28,0,31
2020-08-02,29,0,36
2020-08-09,29,0,38
2020-08-16,61,74,65
2020-08-23,40,0,67
2020-08-30,88,100,100
2020-09-06,52,60,61
2020-09-13,80,91,100
2020-09-20,49,93,73
2020-09-27,42,50,35
2020-10-04,38,0,45
2020-10-11,33,0,34
2020-10-18,28,0,34
2020-10-25,30,0,48
2020-11-01,27,0,37
2020-11-08,35,0,52
2020-11-15,42,75,48
2020-11-22,26,0,30
2020-11-29,29,77,46
2020-12-06,28,0,52
2020-12-13,25,0,27
2020-12-20,22,0,38
2020-12-27,25,0,41
2021-01-03,30,0,48
2021-01-10,33,0,71
2021-01-17,28,0,33
2021-01-24,30,0,51
2021-01-31,28,0,63
2021-02-07,37,61,65
2021-02-14,30,0,59
2021-02-21,48,51,66
2021-02-28,34,73,44
2021-03-07,33,0,43
2021-03-14,26,0,33
2021-03-21,23,0,32
2021-03-28,22,0,29
2021-04-04,23,0,29
2021-04-11,42,0,43
2021-04-18,26,0,33
2021-04-25,23,0,28
2021-05-02,24,0,27
2021-05-09,30,0,32
2021-05-16,25,0,22
2021-05-23,45,0,46
2021-05-30,37,60,52
2021-06-06,35,0,46
2021-06-13,41,47,52
2021-06-20,40,79,48
2021-06-27,48,0,46
2021-07-04,39,0,37
2021-07-11,42,63,30
2021-07-18,87,92,67
2021-07-25,41,0,42
2021-08-01,38,0,39
2021-08-08,33,0,40
2021-08-15,45,0,44
2021-08-22,47,0,57
2021-08-29,38,0,32
2021-09-05,30,0,37
2021-09-12,28,0,25
2021-09-19,34,0,28
2021-09-26,33,0,29
2021-10-03,32,0,28
2021-10-10,28,0,29
2021-10-17,29,0,26
2021-10-24,43,63,39
2021-10-31,73,52,70
2021-11-07,78,77,76
2021-11-14,100,83,86
2021-11-21,65,0,54
2021-11-28,70,0,56
2021-12-05,67,0,45
2021-12-12,72,74,39
2021-12-19,48,0,46
2021-12-26,51,0,49
2022-01-02,54,79,66
2022-01-09,53,0,54
2022-01-16,48,58,65
2022-01-23,70,68,73
2022-01-30,63,49,57
2022-02-06,60,0,46
2022-02-13,80,65,42
2022-02-20,53,36,38
2022-02-27,45,0,39
2022-03-06,45,43,35
2022-03-13,48,0,31
2022-03-20,54,0,35
2022-03-27,44,40,41
2022-04-03,43,0,40
2022-04-10,41,40,33
2022-04-17,44,65,47
2022-04-24,48,48,46
2022-05-01,45,43,34
2022-05-08,56,0,48
2022-05-15,44,0,30
2022-05-22,63,45,41
2022-05-29,35,0,36
2022-06-05,34,0,26
2022-06-12,40,0,32
2022-06-19,29,0,25
2022-06-26,31,0,28
2022-07-03,30,0,22
2022-07-10,33,0,23
2022-07-17,65,44,63
2022-07-24,51,49,45
2022-07-31,47,44,41
2022-08-07,54,65,45
2022-08-14,33,57,27
2022-08-21,44,55,33
2022-08-28,51,78,39
2022-09-04,29,0,29
2022-09-11,41,0,30
2022-09-18,43,0,30
2022-09-25,29,0,27
2022-10-02,29,0,24
2022-10-09,34,0,27
2022-10-16,29,0,26
2022-10-23,28,0,18
2022-10-30,28,0,25
2022-11-06,31,0,23
2022-11-13,43,44,29
2022-11-20,21,0,12
2022-11-27,24,0,14
2022-12-04,22,0,17
2022-12-11,25,0,19
2022-12-18,22,0,15
2022-12-25,22,0,16
2023-01-01,21,0,22
