Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2025-03-17,388.70001220703125,392.7099914550781,385.57000732421875,386.70001220703125,22474300
2025-03-18,383.5199890136719,387.3699951171875,381.1000061035156,387.07000732421875,19486900
2025-03-19,387.82000732421875,389.67999267578125,384.0,385.5299987792969,19185500
2025-03-20,386.8399963378906,391.7900085449219,383.2799987792969,385.739990234375,18470500
2025-03-21,391.260009765625,391.739990234375,382.79998779296875,383.2200012207031,39675900
2025-03-24,393.0799865722656,395.3999938964844,389.80999755859375,395.3999938964844,21004500
2025-03-25,395.1600036621094,396.3599853515625,392.6400146484375,393.9200134277344,15775000
2025-03-26,389.9700012207031,395.30999755859375,388.57000732421875,395.0,16108400
2025-03-27,390.5799865722656,392.239990234375,387.3999938964844,390.1300048828125,13766800
2025-03-28,378.79998779296875,389.1300048828125,376.92999267578125,388.0799865722656,21632000
2025-03-31,375.3900146484375,377.07000732421875,367.239990234375,372.5400085449219,35184700
2025-04-01,382.19000244140625,382.8500061035156,373.2300109863281,374.6499938964844,19689500
2025-04-02,382.1400146484375,385.0799865722656,376.6199951171875,377.9700012207031,16092600
2025-04-03,373.1099853515625,377.4800109863281,369.3500061035156,374.7900085449219,30198000
2025-04-04,359.8399963378906,374.5899963378906,359.4800109863281,364.1300048828125,49209900
2025-04-07,357.8599853515625,371.0,344.7900085449219,350.8800048828125,50425000
2025-04-08,354.55999755859375,373.6499938964844,350.25,368.260009765625,35868900
2025-04-09,390.489990234375,393.2300109863281,353.1000061035156,353.5400085449219,50199700
2025-04-10,381.3500061035156,383.8999938964844,367.79998779296875,382.05999755859375,38024400
2025-04-11,388.45001220703125,390.04998779296875,378.8900146484375,380.6400146484375,23839200
2025-04-14,387.80999755859375,394.6499938964844,384.2099914550781,393.2200012207031,19251200
2025-04-15,385.7300109863281,391.8900146484375,384.1600036621094,388.510009765625,17199900
2025-04-16,371.6099853515625,381.6099853515625,368.0,380.6700134277344,21967800
2025-04-17,367.7799987792969,374.32000732421875,366.8900146484375,373.75,20943700
2025-04-21,359.1199951171875,364.4800109863281,355.6700134277344,362.82000732421875,20807300
2025-04-22,366.82000732421875,367.7699890136719,359.8599853515625,363.3800048828125,19485000
2025-04-23,374.3900146484375,380.3900146484375,373.0199890136719,376.05999755859375,20545500
2025-04-24,387.29998779296875,388.45001220703125,375.19000244140625,375.70001220703125,22232300
2025-04-25,391.8500061035156,392.1600036621094,384.6000061035156,387.0,18973200
2025-04-28,391.1600036621094,392.739990234375,386.6400146484375,391.9599914550781,16579400
2025-04-29,394.0400085449219,395.1000061035156,390.3800048828125,391.29998779296875,14974000
2025-04-30,395.260009765625,396.6600036621094,384.44000244140625,390.29998779296875,36461100
2025-05-01,425.3999938964844,436.989990234375,424.8999938964844,431.1099853515625,58938100
2025-05-02,435.2799987792969,439.44000244140625,429.989990234375,431.739990234375,30757400
2025-05-05,436.1700134277344,439.5,432.1099853515625,432.8699951171875,20136100
2025-05-06,433.30999755859375,437.7300109863281,431.1700134277344,432.20001220703125,15104200
2025-05-07,433.3500061035156,438.1199951171875,431.1099853515625,433.8399963378906,23295300
2025-05-08,438.1700134277344,443.6700134277344,435.6600036621094,437.92999267578125,23491300
2025-05-09,438.7300109863281,440.739990234375,435.8800048828125,440.0,15324200
2025-05-12,449.260009765625,449.3699951171875,439.7799987792969,445.94000244140625,22821900
2025-05-13,449.1400146484375,450.6700134277344,445.3599853515625,447.7799987792969,23618800
2025-05-14,452.94000244140625,453.8999938964844,448.1400146484375,448.1400146484375,19870100
